policy,policy_base,workload,cache_kb,assoc,leader_fraction,interval_k,hit_rate_pct,miss_rate_pct,mpki,l2_hits,l2_misses,sim_cycles,sim_instrs,metadata_bits_per_line
lru,lru,loop,128,8,,,83.89,16.11,161.1,503340,96660,846134532,600000000,1
fifo,fifo,loop,128,8,,,78.15,21.85,218.5,468900,131100,864864245,600000000,1
random,random,loop,128,8,,,74.39,25.61,256.1,446340,153660,873440870,600000000,0
adaptive_lf10_iv250k,adaptive,loop,128,8,10,250,81.44,18.56,185.6,488640,111359,852821706,600000000,2
adaptive_lf10_iv500k,adaptive,loop,128,8,10,500,81.53,18.47,184.7,489180,110819,847501461,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,128,8,10,1000,82.47,17.53,175.3,494820,105180,841463703,600000000,2
adaptive_lf20_iv250k,adaptive,loop,128,8,20,250,83.7,16.3,163.0,502200,97800,855943549,600000000,2
adaptive_lf20_iv500k,adaptive,loop,128,8,20,500,84.81,15.19,151.9,508860,91140,843644694,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,128,8,20,1000,84.69,15.31,153.1,508140,91860,858823054,600000000,2
adaptive_lf40_iv250k,adaptive,loop,128,8,40,250,79.27,20.73,207.3,475620,124380,865294539,600000000,2
adaptive_lf40_iv500k,adaptive,loop,128,8,40,500,81.18,18.82,188.2,487080,112920,851037773,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,128,8,40,1000,79.63,20.37,203.7,477780,122220,868750893,600000000,2
lru,lru,stream,128,8,,,36.25,63.75,637.5,145000,254999,3161498158,400000000,1
fifo,fifo,stream,128,8,,,38.8,61.2,612.0,155200,244800,3208128023,400000000,1
random,random,stream,128,8,,,36.13,63.87,638.7,144520,255480,3222368401,400000000,0
adaptive_lf10_iv250k,adaptive,stream,128,8,10,250,36.3,63.7,637.0,145200,254800,3245597611,400000000,2
adaptive_lf10_iv500k,adaptive,stream,128,8,10,500,36.37,63.63,636.3,145480,254520,3205116087,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,128,8,10,1000,36.62,63.38,633.8,146480,253519,3211297611,400000000,2
adaptive_lf20_iv250k,adaptive,stream,128,8,20,250,38.67,61.33,613.3,154680,245319,3205701814,400000000,2
adaptive_lf20_iv500k,adaptive,stream,128,8,20,500,38.74,61.26,612.6,154960,245040,3154647339,400000000,2
