policy,policy_base,workload,cache_kb,assoc,leader_fraction,interval_k,hit_rate_pct,miss_rate_pct,mpki,l2_hits,l2_misses,sim_cycles,sim_instrs,metadata_bits_per_line
lru,lru,loop,256,16,,,90.61,9.39,93.9,543660,56339,850071639,600000000,1
fifo,fifo,loop,256,16,,,85.11,14.89,148.9,510660,89340,864969958,600000000,1
random,random,loop,256,16,,,78.42,21.58,215.8,470520,129480,854604661,600000000,0
adaptive_lf20_iv500k,adaptive,loop,256,16,20,500,89.9,10.1,101.0,539400,60599,845089176,600000000,2
lru,lru,stream,256,16,,,42.0,58.0,580.0,168000,232000,3152122473,400000000,1
fifo,fifo,stream,256,16,,,42.62,57.38,573.8,170480,229520,3225005045,400000000,1
random,random,stream,256,16,,,41.01,58.99,589.9,164040,235960,3193189190,400000000,0
adaptive_lf20_iv500k,adaptive,stream,256,16,20,500,42.31,57.69,576.9,169240,230760,3246163956,400000000,2
lru,lru,mixed,256,16,,,69.4,30.6,306.0,360880,159120,1749002955,520000000,1
fifo,fifo,mixed,256,16,,,70.69,29.31,293.1,367588,152412,1735728935,520000000,1
random,random,mixed,256,16,,,62.36,37.64,376.4,324272,195727,1771670657,520000000,0
adaptive_lf20_iv500k,adaptive,mixed,256,16,20,500,77.55,22.45,224.5,403260,116740,1727813679,520000000,2
lru,lru,stride,256,16,,,54.44,45.56,455.6,261312,218688,2112820076,480000000,1
fifo,fifo,stride,256,16,,,58.82,41.18,411.8,282336,197664,2112997332,480000000,1
random,random,stride,256,16,,,50.92,49.08,490.8,244416,235584,2072692363,480000000,0
adaptive_lf20_iv500k,adaptive,stride,256,16,20,500,63.27,36.73,367.3,303696,176303,2074413113,480000000,2
